perf,e,d,seed
0.98,,,42
0.84,10.0,0.1,42
0.8433333333333334,10.0,0.01,42
0.8433333333333334,10.0,0.001,42
0.8466666666666667,10.0,0.0001,42
0.8433333333333334,5.0,0.1,42
0.8466666666666667,5.0,0.01,42
0.8433333333333334,5.0,0.001,42
0.8466666666666667,5.0,0.0001,42
0.8466666666666667,1.0,0.1,42
0.8466666666666667,1.0,0.01,42
0.82,1.0,0.001,42
0.8033333333333333,1.0,0.0001,42
0.8133333333333334,0.1,0.1,42
0.69,0.1,0.01,42
0.6433333333333333,0.1,0.001,42
0.6366666666666667,0.1,0.0001,42
0.7866666666666666,0.01,0.1,42
0.6133333333333333,0.01,0.01,42
0.6,0.01,0.001,42
0.6,0.01,0.0001,42
0.98,,,43
0.8433333333333334,10.0,0.1,43
0.8433333333333334,10.0,0.01,43
0.84,10.0,0.001,43
0.84,10.0,0.0001,43
0.84,5.0,0.1,43
0.8333333333333334,5.0,0.01,43
0.8333333333333334,5.0,0.001,43
0.8333333333333334,5.0,0.0001,43
0.83,1.0,0.1,43
0.8066666666666666,1.0,0.01,43
0.7866666666666666,1.0,0.001,43
0.78,1.0,0.0001,43
0.7833333333333333,0.1,0.1,43
0.6766666666666666,0.1,0.01,43
0.65,0.1,0.001,43
0.6366666666666667,0.1,0.0001,43
0.7766666666666666,0.01,0.1,43
0.6066666666666667,0.01,0.01,43
0.6,0.01,0.001,43
0.6,0.01,0.0001,43
0.98,,,44
0.84,10.0,0.1,44
0.84,10.0,0.01,44
0.8333333333333334,10.0,0.001,44
0.8333333333333334,10.0,0.0001,44
0.8333333333333334,5.0,0.1,44
0.83,5.0,0.01,44
0.8266666666666667,5.0,0.001,44
0.8266666666666667,5.0,0.0001,44
0.8133333333333334,1.0,0.1,44
0.8066666666666666,1.0,0.01,44
0.8066666666666666,1.0,0.001,44
0.7966666666666666,1.0,0.0001,44
0.8033333333333333,0.1,0.1,44
0.7233333333333334,0.1,0.01,44
0.68,0.1,0.001,44
0.67,0.1,0.0001,44
0.79,0.01,0.1,44
0.6566666666666666,0.01,0.01,44
0.6433333333333333,0.01,0.001,44
0.6433333333333333,0.01,0.0001,44
0.98,,,45
0.8333333333333334,10.0,0.1,45
0.83,10.0,0.01,45
0.8266666666666667,10.0,0.001,45
0.8266666666666667,10.0,0.0001,45
0.8233333333333334,5.0,0.1,45
0.82,5.0,0.01,45
0.8266666666666667,5.0,0.001,45
0.8233333333333334,5.0,0.0001,45
0.81,1.0,0.1,45
0.7866666666666666,1.0,0.01,45
0.78,1.0,0.001,45
0.7733333333333333,1.0,0.0001,45
0.7766666666666666,0.1,0.1,45
0.7033333333333334,0.1,0.01,45
0.6733333333333333,0.1,0.001,45
0.66,0.1,0.0001,45
0.7533333333333333,0.01,0.1,45
0.6333333333333333,0.01,0.01,45
0.6233333333333333,0.01,0.001,45
0.6233333333333333,0.01,0.0001,45
0.98,,,46
0.8266666666666667,10.0,0.1,46
0.83,10.0,0.01,46
0.8366666666666667,10.0,0.001,46
0.8333333333333334,10.0,0.0001,46
0.8366666666666667,5.0,0.1,46
0.8333333333333334,5.0,0.01,46
0.8366666666666667,5.0,0.001,46
0.8333333333333334,5.0,0.0001,46
0.8266666666666667,1.0,0.1,46
0.8066666666666666,1.0,0.01,46
0.7466666666666667,1.0,0.001,46
0.7166666666666667,1.0,0.0001,46
0.73,0.1,0.1,46
0.54,0.1,0.01,46
0.4866666666666667,0.1,0.001,46
0.4633333333333333,0.1,0.0001,46
0.69,0.01,0.1,46
0.45,0.01,0.01,46
0.44,0.01,0.001,46
0.43666666666666665,0.01,0.0001,46
